Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0072087	1737	669	614	434	159	140	1018	1129	969	255	247	194	635.28	1039	232	0.224	-2.16	1.30950787116875e-10	4.11369262125398e-08	0.0724	0.0974
FBtr0343497	396	313	222	98	25	17	232	528	350	58	39	24	205.1	370	40	0.111	-3.178	1.97015051549884e-10	5.97923985263089e-08	0.1431	0.143
FBtr0083967	853	252	289	129	52	65	500	425	456	76	81	90	271.3	460	82	0.178	-2.488	3.26626438582601e-10	9.43318227300008e-08	0.0951	0.13
FBtr0333662	1167	526	369	279	70	85	684	888	582	164	109	118	424.05	718	130	0.183	-2.454	3.241617916254e-10	9.43318227300008e-08	0.095	0.1109
FBtr0071240	288	93	117	41	10	15	169	157	185	24	16	21	95.13	170	20	0.121	-3.045	4.24362475566842e-10	1.20613245833331e-07	0.1281	0.1709
FBtr0290019	6546	2254	2494	1907	616	815	3836	3804	3936	1121	955	1130	2463.67	3859	1069	0.277	-1.852	1.238620618508e-09	3.41211396846219e-07	0.0622	0.085
FBtr0299968	2277	879	1073	492	294	283	1334	1484	1693	289	456	392	941.43	1504	379	0.252	-1.991	1.61611014186164e-09	4.31911465674245e-07	0.0713	0.0896
FBtr0100375	843	511	549	253	96	101	494	862	866	149	149	140	443.4	741	146	0.197	-2.341	1.80858185611545e-09	4.76242157582402e-07	0.0953	0.1092
FBtr0334328	4054	1306	1560	879	484	482	2375	2204	2462	517	750	668	1496.18	2347	645	0.275	-1.865	3.2593980623768e-09	8.4583741601332e-07	0.0661	0.0855
FBtr0082139	749	168	148	94	30	41	439	284	234	55	47	57	185.77	319	53	0.166	-2.59	5.65469768780508e-09	1.40629189996997e-06	0.1179	0.1469
FBtr0080838	2191	714	503	467	182	189	1284	1205	794	275	282	262	683.58	1094	273	0.249	-2.004	5.9933677296752e-09	1.45156706984678e-06	0.0773	0.0955
FBtr0088370	182	50	59	25	6	8	107	84	93	15	9	11	53.21	95	12	0.128	-2.964	6.05243315568386e-09	1.45156706984678e-06	0.1302	0.1781
FBtr0333020	3063	1107	1433	1020	403	351	1795	1868	2261	600	625	487	1272.62	1975	571	0.289	-1.791	8.09039133002913e-09	1.89252471760513e-06	0.0643	0.0864
FBtr0334309	1029	213	282	103	77	41	603	360	445	61	119	57	274.04	469	79	0.167	-2.584	8.69440881969937e-09	1.9959241580197e-06	0.1229	0.1295
FBtr0310653	230	121	95	42	7	18	135	204	150	25	11	25	91.57	163	20	0.127	-2.973	8.84692001725147e-09	2.00522721302411e-06	0.147	0.1719
FBtr0087115	234	75	81	40	9	10	137	127	128	24	14	14	73.81	131	17	0.136	-2.876	9.853684039541e-09	2.20550083015026e-06	0.1356	0.1759
FBtr0302938	672	245	279	175	49	55	394	414	440	103	76	76	250.44	416	85	0.206	-2.278	1.02759299135447e-08	2.27161482755472e-06	0.0979	0.1337
FBtr0079148	121	19	45	4	5	4	71	32	71	2	8	6	31.61	58	5	0.082	-3.602	1.24854977465691e-08	2.7264063737813e-06	0.1681	0.172
FBtr0337056	1895	422	300	302	94	91	1110	712	473	178	146	126	457.59	765	150	0.196	-2.35	1.2656964638484e-08	2.7305495038156e-06	0.1081	0.1079
FBtr0112878	1457	182	199	153	38	41	854	307	314	90	59	57	280.11	492	69	0.14	-2.833	1.53964198627734e-08	3.24339169485671e-06	0.1518	0.1283
FBtr0071934	2632	870	1155	680	347	348	1542	1468	1823	400	538	483	1042.27	1611	474	0.294	-1.768	2.0906157475421e-08	4.20613096353807e-06	0.0663	0.0883
FBtr0077409	1633	576	600	160	144	194	957	972	947	94	223	269	577.04	959	195	0.203	-2.303	2.79723230695621e-08	5.5652490764842e-06	0.1096	0.1002
FBtr0110971	349	96	80	49	12	19	204	162	126	29	19	26	94.42	164	25	0.152	-2.72	3.03494327189489e-08	5.9718345303901e-06	0.1359	0.1709
FBtr0344980	3769	1765	1589	1402	539	520	2208	2979	2507	824	836	721	1679.33	2565	794	0.31	-1.692	3.51680781890971e-08	6.69914476653163e-06	0.0634	0.0852
FBtr0330730	2611	1793	1706	979	495	381	1530	3026	2692	575	768	528	1519.95	2416	624	0.258	-1.953	3.81194194789191e-08	7.18490868620553e-06	0.0837	0.0855
FBtr0308065	2958	770	925	935	214	264	1733	1300	1460	550	332	366	956.69	1498	416	0.278	-1.845	4.00951774118159e-08	7.40148707975232e-06	0.0749	0.0893
FBtr0080932	703	221	329	129	50	86	412	373	519	76	78	119	262.79	435	91	0.209	-2.261	4.07920048725483e-08	7.45328203314132e-06	0.1056	0.1315
FBtr0307289	1257	577	579	209	185	130	737	974	914	123	287	180	535.68	875	197	0.224	-2.16	6.05074905344079e-08	1.05189041311564e-05	0.1021	0.1025
FBtr0332260	1986	872	973	561	304	315	1164	1472	1535	330	471	437	901.48	1390	413	0.296	-1.754	7.7215123435875e-08	1.31677523832646e-05	0.0708	0.0902
FBtr0302692	3397	574	578	566	190	228	1990	969	912	333	295	316	802.49	1290	315	0.244	-2.038	9.40610469557511e-08	1.57407206242026e-05	0.0955	0.0921
FBtr0310647	2609	1056	804	951	206	150	1529	1782	1269	559	319	208	944.38	1527	362	0.238	-2.069	1.09912509686131e-07	1.82230870225913e-05	0.0998	0.0895
FBtr0446106	218	189	186	60	26	30	128	319	294	35	40	42	142.91	247	39	0.159	-2.655	1.36118581765102e-07	2.21576302280539e-05	0.1495	0.1581
FBtr0087307	1934	837	913	707	302	247	1133	1413	1441	416	468	343	868.85	1329	409	0.308	-1.7	1.37836516339949e-07	2.22351410953435e-05	0.0694	0.0908
FBtr0088774	6303	3419	3042	2675	1023	1022	3693	5771	4800	1572	1586	1417	3140.05	4755	1525	0.321	-1.64	1.46950472180163e-07	2.34937067398035e-05	0.0662	0.0856
